column_name,type,is_primary_key,foreign_key
id,INTEGER,True,
game_id,VARCHAR(20),False,game(game_id)
event_seq,INTEGER,False,
inning,INTEGER,False,
inning_half,VARCHAR(6),False,
outs,INTEGER,False,
batter_id,INTEGER,False,
batter_name,VARCHAR(64),False,
pitcher_id,INTEGER,False,
pitcher_name,VARCHAR(64),False,
description,TEXT,False,
event_type,VARCHAR(32),False,
result_code,VARCHAR(16),False,
rbi,INTEGER,False,
bases_before,VARCHAR(3),False,
bases_after,VARCHAR(3),False,
extra_json,JSON,False,
created_at,DATETIME,False,
updated_at,DATETIME,False,
wpa,FLOAT,False,
win_expectancy_before,FLOAT,False,
win_expectancy_after,FLOAT,False,
score_diff,INTEGER,False,
base_state,INTEGER,False,
home_score,INTEGER,False,
away_score,INTEGER,False,
